SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
aqua;1;856.877853417;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;-6.34533720429e-05,0.0053724575953,-0.0047334731419,-0.00365625721903,-0.00107346160846,0.0075831546321,-0.0048556839723,0.0243323027464,0.191608822262,0.781777315528,0.0061008279097,-0.000247823949201,-0.000581722424962,-0.0016868077301;-1895.85029413;1.57042704119e-08
aqua;1;856.877853417;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.00110418594925,-0.0262187765021,-0.0218585345265,1.00672026189,0.0262214318434;-1171.43891551;5.96237222445e-06
aqua;2;466.07150204;terra;2,3,0,1,4,5,6;465.742398799,553.736229817,646.295673296,856.47984028,1242.16286011,1629.40788053,2114.21403827;2.40129237979e-05,0.999812568405,0.000593641024527,0.000448440502096,-8.0832080946e-05,-0.000234569238229,0.000459126557058,-0.000473677006644;-2207.2859782;1.4311054729e-09
aqua;2;466.07150204;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697,899.753104609;0.000198948364982,-0.11046982232,0.651090102263,0.473530557316,-0.00516994028747,-0.000222508806337,-0.0278169274349,0.0800270781483,-0.070468865018,0.0123414563106,0.0101064378257,-0.0622153048834,0.0723361733233,0.0157283075049,-0.118979594753,0.0812669168098;-1772.52640315;4.07935427904e-08
aqua;2;466.07150204;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;0.000639906447939,0.498010301809,0.59872940069,-0.10958019163,0.0128723002105,-0.0034735320202,0.0272705497548,-0.104521341236,0.275530771838,-0.18941556121,0.00178017687676,-0.00583035749311,0.00862711993516,-0.00701312866181;-1515.38826291;3.29517322905e-07
aqua;2;466.07150204;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.000680741351911,1.01111887591,0.0134251441455,9.19527239416e-05,-0.00535082156737;-1421.64336981;8.05600587509e-07
aqua;3;553.917076647;terra;2,3,0;465.742398799,553.736229817,646.295673296;-1.272569524e-05,-0.000920977766195,0.999443331919,0.00159956449735;-2443.88698151;2.29842537774e-10
aqua;3;553.917076647;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697,899.753104609;-1.95592053566e-05,-0.0318635055169,0.114562926952,-0.266314139783,0.262628481315,0.975272262306,-0.102304774119,0.0584843136884,-0.0199858597982,0.00274948485047,0.0093360209322,0.0422376810724,-0.065944590484,0.035077727909,0.0269375955367,-0.0446964163829;-1775.29518187;3.9899890289e-08
aqua;3;553.917076647;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666;9.95303577805e-05,-0.0237128588248,0.0566461003777,1.02430760929,-0.0664775594133,-0.0100551290615,0.021974515706,-0.0164825197405,-0.00959336920413,0.0243825923315,-0.0125283250164,0.00717983056028,-0.00278598241204;-1523.65124594;3.13414019245e-07
aqua;3;553.917076647;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;-0.00126807619628,0.772438434773,0.290613859072,0.101507303231,-0.0406448356883;-780.960779879;0.000135543620517
aqua;4;1241.49758039;terra;2,3,0,1,4;465.742398799,553.736229817,646.295673296,856.47984028,1242.16286011;-0.000208329686655,-0.00121898396074,0.00102608636141,0.000660246655833,0.000256035432401,0.99927092461;-2064.64736125;4.62536894255e-09
aqua;4;1241.49758039;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697;0.0167631347331,1.29169905467,-1.87322536411,0.617954291682,0.633881805952,-1.10083362273,0.211182709951,-0.737669433165,0.860934129868,0.310028234234,2.19479631244,-2.22531189488,5.14724983865,-40.0720359857,35.8482117226;-679.92709912;0.000259190407897
